Airport Code,PageRank
ORD,0.405976259954538
DEN,0.3727718016452493
ATL,0.32312700120065313
LAS,0.2538984861188098
DFW,0.2495913123603698
LAX,0.24404341140530525
IAH,0.24221294753317563
PHX,0.22780316991441485
MSP,0.21858267327697675
MCO,0.21588224631541522
EWR,0.21383026234165695
MIA,0.20693789615056551
CLT,0.20167130901769345
DTW,0.1875713451200753
SEA,0.1874442038401157
PHL,0.1710884861269781
ANC,0.1665446461950103
SLC,0.15854443269007623
MEM,0.15456903399625807
FLL,0.15256760509252432
TPA,0.15194010408851083
SFO,0.1503802692412611
IAD,0.14856307293116838
SDF,0.14625825093086722
BET,0.14437740517900868
BOS,0.14061768681522271
BNA,0.13756812744303418
JFK,0.12791538434288882
AUS,0.12709522036838167
CVG,0.12468259982824839
WFB,0.11869979155991599
BWI,0.11855539770979998
IND,0.11829702254527359
DCA,0.11733307539728417
PDX,0.11689180227952939
MSY,0.09455256574681886
FAI,0.09440784617423809
SAN,0.09336932208352189
STL,0.09316340027930842
LGA,0.09176437499983324
RSW,0.09115693454121508
RDU,0.08746175595489328
MDW,0.0855727087548543
DAL,0.08359203322700268
OAK,0.07689458886924533
SAT,0.07609119492903021
PIT,0.07475939537176886
MCI,0.07388019352613447
HOU,0.07276549610298597
ONT,0.0720463847908827
CLE,0.06927046847521261
CMH,0.06596322473219553
SJC,0.06432910287319517
MKE,0.06424027138310578
HNL,0.06412960321583709
SMF,0.06346138292655888
SJU,0.06023077490000001
PBI,0.058424013208189456
JAX,0.05468418575818206
SRQ,0.05376203752802957
OME,0.05240484790391054
EDF,0.0521113864970313
SNA,0.04811796127998387
RNO,0.04737389482595441
A43,0.04732643726065233
BDL,0.04723064438405552
OTZ,0.04673794647962828
RIC,0.045906905227842305
CHS,0.044469193562348804
SFB,0.04288838231260572
BUF,0.04287189650213547
OKC,0.042601455430168786
OMA,0.04233549104431742
ELP,0.04206221104336524
BOI,0.0411805315823015
LPS,0.04093108482670254
TMB,0.04040318793665069
GRR,0.03899288396084592
HPN,0.03876199335526445
ABQ,0.03835854517607985
OGG,0.03784064265946466
DSM,0.03690398844780451
ORF,0.036521647351387326
BUR,0.03607181821946009
VNY,0.035503438486267844
TUL,0.03536114580553879
TUS,0.03529679410222286
AZA,0.035117591282325944
YNG,0.034868362518813395
GEG,0.03460397739001028
SYR,0.034417304990251106
PSP,0.03431029766595186
BZN,0.0338610796075136
PVD,0.03376966672596323
PIE,0.03362272248741614
GSO,0.03264166657592573
JNU,0.03132929991973066
TYS,0.0306962640634369
GSP,0.030580273278335252
DOV,0.02989635629953255
BHM,0.02966040877614525
ADQ,0.029454810891949297
KOA,0.02938532034332194
YIP,0.028981755410839614
MSN,0.027964030149526958
RNT,0.027950653146292248
OR4,0.0275833689507467
TEB,0.027463100524428078
WWA,0.027153381359417916
BLD,0.026006959563923356
TTD,0.025983749578099853
LGB,0.0259501530750455
VGT,0.025805798619618747
AFW,0.025610420152570798
SAV,0.02535339290987051
RFD,0.02527392132624852
ACY,0.024970088904329852
ALB,0.024774088639919225
KSM,0.024694291402483123
ANI,0.02464040956656614
GPT,0.024518072185006082
LIT,0.024136547127715853
AKN,0.0240148441590787
MDT,0.023768299926943688
COS,0.02376714017713365
ICT,0.02313879255874209
XNA,0.022991371635403365
UNK,0.022663979950315327
EMK,0.022211737023996505
FAT,0.021647711093121736
ROC,0.021469191318797258
MYR,0.020809736806913205
IFP,0.020739182812364462
GAL,0.020556513290055166
TVL,0.020435949695516584
PGD,0.02040652950004724
CID,0.020395346641887673
DLG,0.019603736124216835
FSD,0.019596053942655255
LRD,0.01900792501134292
FAR,0.01887815810335316
HRL,0.018824049054042703
LBB,0.018533077152881605
SBN,0.018273341569367257
PNS,0.018009901860832556
SBA,0.017914833075970922
CAE,0.017610264941424363
T82,0.017131454733503623
DTO,0.017131454733503623
LSV,0.017131454733503623
STT,0.017077540417787387
LIH,0.016610474122498227
EYW,0.016437680821647996
BID,0.01616285005456514
SPB,0.01616285005456514
SSB,0.01616285005456514
WST,0.01616285005456514
OPF,0.016131378345901472
SOP,0.016008386882559643
LEX,0.016001917548290383
PWM,0.015949168988297777
SCC,0.015794560933522918
HSV,0.01577924766881822
AEX,0.015526132174728454
TLH,0.015475469522183058
MHT,0.015151090976580883
DUT,0.015015455491593796
GLR,0.01500974744648329
EUG,0.014976319950579858
BED,0.01494957548842749
1G4,0.014883056944637273
SGF,0.01481260429971235
SNS,0.01465371173693062
FWA,0.014276547064275202
MWH,0.014170681236757389
WWP,0.014126120705176914
SGR,0.013876864521903889
LRU,0.013847795878376735
UAM,0.013847795878376735
SHV,0.013824915531419624
KCC,0.013803055548168568
BTR,0.013683292848483278
MLL,0.013562847460518723
BIL,0.013557816951319471
BDR,0.013447794163338567
AVL,0.013335119657136725
RME,0.01313215668231998
MAF,0.013091380203944049
HDN,0.01305200727944933
RDM,0.012899444998813304
PPV,0.012836701285956624
JZI,0.012740614109056567
HYG,0.012730724643875702
DAY,0.01265269451981807
BTV,0.012595036807329462
HSL,0.012468488448192865
PQS,0.012385102657794632
ASE,0.012371055478730858
OOK,0.012303013818920799
MFR,0.012257938047845588
ALZ,0.012129851230416861
MQY,0.012102986368375767
ABE,0.012077335776227016
JAC,0.012076512940035169
DOF,0.011924718896010001
CRX,0.011678330477173673
MFE,0.01153010140998796
CDB,0.011499583153318343
KWN,0.01146539126172883
GRB,0.011455963451945793
CHA,0.011391598775853048
MRI,0.011304952140033851
GTF,0.01128619828490397
WTL,0.011147051099160962
GNV,0.011098332500968509
SIT,0.011077471058990223
VPS,0.011046485692461971
BFI,0.011044844500779622
SCE,0.011022688326928973
BRW,0.011016192927569038
KKB,0.010988745253749314
JAN,0.010965031601963566
LCK,0.010841320846094344
MTJ,0.010832432749388462
FYU,0.010744135642285645
TNK,0.01064667893636744
ROA,0.010551724417342175
ATT,0.010517407336886053
PHO,0.010412381488489787
HOM,0.010285839018966457
ECP,0.01024286501135923
CHO,0.010191636392931008
EGE,0.01002701166815763
ENA,0.009904340038675056
RBY,0.009876971623659438
RDB,0.009830132437941782
ISP,0.009802557371155584
IDA,0.009676351686774933
GJT,0.009667390602929397
KOT,0.009657069291013093
AKP,0.009650309913265416
KKH,0.009649876326940041
RSH,0.009642663451714075
ATW,0.00959986078649104
AUK,0.009585691999945021
CGA,0.009574250367345768
EDA,0.009574250367345768
HYL,0.009574250367345768
KTB,0.009574250367345768
MTM,0.009574250367345768
WHD,0.009574250367345768
NUP,0.009535475890415228
ORV,0.009531566068410767
SHG,0.009411104929272558
FCA,0.009409582438655808
KUK,0.009327576842534399
KPN,0.009278801190147826
STS,0.009253562963459765
EEK,0.009167173121002022
MRY,0.009114396764431707
WTK,0.008896710280810152
STX,0.008860641785003516
DGB,0.008856256943974392
SCM,0.008740903851344876
SBD,0.008732271992513065
KTN,0.008700431376748136
KXA,0.00866051075386497
PIA,0.008565310319039924
MSO,0.008553063748089293
SPN,0.008344863420209316
PSC,0.008323758616533802
MOU,0.008316059898903596
CYF,0.008288976178687993
AOS,0.008193309321517834
KZB,0.008193309321517834
NUL,0.008139459248982295
MLI,0.008110379478436246
NKI,0.008029215898558982
ILM,0.007948830062558485
HPB,0.007857481749539492
KWT,0.007850208587623364
ABL,0.007739637617772422
MCG,0.00770101858273617
LAN,0.0076978439048730985
WWT,0.007653066430703967
ILN,0.007627966603810348
GCN,0.007598533655134777
KKI,0.007590376728274122
MLB,0.007567322948495021
TOL,0.007546807151946618
WLK,0.007503062573078041
FNT,0.007492358393847422
CAK,0.0074846657178696
SWF,0.007482779238742538
SXP,0.007416158549966196
CPS,0.007409454069709514
KKA,0.007340865402256283
NME,0.007313877787315602
UGI,0.007308929169347532
SVA,0.007254105250824978
HHR,0.007232694808454816
SMK,0.007181936680646567
WBB,0.007180084590444892
VEE,0.007164002312833857
TTN,0.0071183283088536485
SHH,0.007088617803250897
GAM,0.007078027724256783
BIS,0.0070028504356060275
KAL,0.006964057568209232
TCL,0.0069504472841905255
BGR,0.006788428665260974
WMK,0.00676662618794701
AMA,0.006749809855278026
KVL,0.00671313902657618
IAN,0.006711453210474302
CRP,0.006676731723686998
GUM,0.006675724351582782
APF,0.006654209998372499
LAL,0.00661749128849822
PAE,0.006608539875229662
BKC,0.006576874764595624
EVV,0.006509302547091317
KWK,0.0064930842631635115
COU,0.006487964890843076
ACK,0.006382154057046778
CSG,0.006381793065012819
ARC,0.006365092033144952
SBP,0.006340420915891892
BTI,0.006319146251407058
TLT,0.006264345804228938
AGS,0.00619832682641769
PVU,0.006160079667386729
WNA,0.006140882640529051
SKK,0.006106804911693462
BLI,0.006064596947321267
SCF,0.006037284424062671
SNP,0.005946117416673687
KTS,0.005893474473121523
BQN,0.005857350497026648
KPY,0.005852663712685949
CPR,0.005851968383711411
GYY,0.005836486990791704
KPR,0.005806816364145396
OBU,0.0057977070829826
ACT,0.005793222490677773
CMI,0.0057894298670715175
KLL,0.005773871993869549
BMI,0.005730509666525437
SYB,0.005656170736092846
RIL,0.005647985845496141
DRO,0.005638932958168309
YAK,0.0055990526674231595
RAP,0.005541533022511789
MOT,0.005454958425446818
HSH,0.005342316587038754
BFL,0.005322332745825024
TVC,0.00531042688996999
DLH,0.005292809509040305
AET,0.005285466994652277
AKI,0.005274643079790202
KWP,0.005266946129120097
BVU,0.005226151825109454
BLV,0.005201957716383147
ELI,0.005127939233469823
DAB,0.0051239173137811005
LNK,0.005092185494833802
LKE,0.005070300176036201
LFT,0.005027710566524354
SOV,0.005020713883803163
TRI,0.004971835404932106
ACV,0.004966868221749286
MHK,0.004956443434689115
DQU,0.004872741622029049
KPB,0.004872741622029049
CKB,0.004856527644804914
GFK,0.004852826272339142
ORI,0.004826439797444392
PSG,0.0047992997984863785
RIV,0.004789451170171096
KLW,0.004728366185210584
AVP,0.004709229418557491
KYU,0.004674241949399159
GST,0.004668302255919366
SVS,0.004664472478705448
RST,0.004654706242387116
SGU,0.004605025376577153
USA,0.00458027875385014
JZT,0.0045610578420487895
EGX,0.0044876066358034185
ROP,0.004473401148021276
MHR,0.004441648706722075
YUM,0.00438450670146437
CDV,0.004367930718308326
TYE,0.004335370776284169
PTU,0.004329120308089532
GNU,0.004305515364980973
RMP,0.004304980508380942
CRW,0.004283772721833508
SCK,0.004274610403896968
WAA,0.004260906937420008
TIQ,0.004256756600829092
TOG,0.00425068771196126
TUP,0.004248484025180811
KLN,0.004230934124032375
KLG,0.0042306031038079365
HLN,0.004226811385012393
PGM,0.004223900543734765
SDP,0.004207455027011701
TLA,0.00417705210435214
BRO,0.004171611989401417
TKJ,0.004158772091835518
FRG,0.0041313590531930405
7AK,0.004130566234123226
PTH,0.004127346113389612
VQS,0.0041162328331567095
CPX,0.004111398581904545
06A,0.004107774785611356
EHR,0.004107774785611356
HCR,0.004090852759283245
MGM,0.004087472477509522
PTK,0.00403382481272285
CLD,0.004028527330150442
LWS,0.004010993622117323
TAL,0.003989828128002812
SUN,0.003958815710103139
ITO,0.003941925144990567
FAY,0.003919603685692264
DRG,0.00391505270849738
PIP,0.003911815327947328
GRK,0.003891135491977889
ILI,0.0038594297759299177
HUS,0.003848695095911813
WMO,0.0038271866429959896
BTT,0.0037797672323766026
MOB,0.003771001301012796
MBS,0.0037199871713770078
MVY,0.0036235202624852894
KGX,0.0035910387826135876
UGS,0.003580647425233376
KOZ,0.0035619555992291835
CLL,0.0035551039736138753
DSI,0.003514047266730389
LAF,0.0035053410794455412
BCT,0.0034697365847890485
AKK,0.003418993874568366
SGY,0.003411968700317853
SMX,0.0034001172009434327
MCE,0.003399251466073956
STG,0.0033985820616228434
KEB,0.003395064272500161
HTS,0.00335176205842317
PUB,0.0032995782765175108
OLH,0.003282817103494728
CLP,0.0032677753872309666
EAR,0.003263925833401089
FLG,0.003249042097864479
NIB,0.0032403656472191704
NUI,0.0032318614499014043
PKA,0.0032132163326739254
TSM,0.003209760944023564
SHX,0.0031976860170034632
SLQ,0.0031609077542700858
ANV,0.0031587272250990076
GLV,0.003134825508143783
HNS,0.0031284483179346385
KEH,0.003126509931989413
RDD,0.003120105572667191
CWA,0.0031127252924475738
SWO,0.003104731508617071
MYU,0.003095315109424446
LSE,0.0030897702156817775
YKM,0.0030861642115193578
AIN,0.003080653371166435
VAK,0.003073230096250132
HVN,0.003062416841706588
BFB,0.0030597092566626016
HKB,0.003051195863383626
PWK,0.003040675523250039
SRV,0.0030239277395222733
ITH,0.0030122393149439462
SPI,0.003001523195525956
LBE,0.002999265737954981
KCQ,0.0029866082466286623
SAF,0.002967692831565325
WRG,0.0029563207959381345
HNH,0.0029072977876744817
TEK,0.0029032209035882942
KCG,0.002869575662676271
KPV,0.002869575662676271
INT,0.0028679157615699694
WBQ,0.002838158793899431
PBG,0.002836716701776195
KNW,0.002830271710109478
CIK,0.002820652266805644
AHN,0.002810793933464828
KMO,0.0027739620649050597
SIG,0.0027717084006214903
LCH,0.00275727932264208
PGV,0.002755147097132763
IRC,0.0027533714983908795
ORL,0.002716945057046906
IAG,0.002708086429030155
EAA,0.002705000569538543
BFF,0.0027034599414605953
ELM,0.0026996886892141944
KGK,0.0026956166467595535
GRI,0.002685458125690608
BJI,0.0026798006072403244
CHU,0.0026467027126164094
LMA,0.0026339719444633935
KYK,0.0026325403263680372
CXF,0.002582861630268676
MCN,0.0025769397214738905
ESD,0.0025640242102376084
FOE,0.0025546587261085765
MMU,0.002544837702650024
FBS,0.002526330794483076
GKN,0.0025262573815098993
KBC,0.0025113077739048317
PTD,0.0024778249691818125
NCN,0.0024731267670433993
ROW,0.0024621245497016327
BIH,0.0024582407783026233
HYA,0.0024483702827387665
ABY,0.0024335830108875556
KAE,0.002424354602351911
PDK,0.002423231046247098
FRD,0.002414252112616263
MQT,0.002385576615237728
ABI,0.0023604708074469335
MKK,0.0023546091184168797
ERI,0.002350098070566108
FTW,0.0023460281325096348
GLH,0.0023458449249025696
XWA,0.002315882866526548
ORH,0.0023157846651410347
KCL,0.0023074269729643246
TVF,0.002290565097952236
MKC,0.00225225817953072
MLY,0.002214808422406795
IGG,0.0021961125451305033
PNE,0.002183124389470509
LUK,0.002175290065833145
GTR,0.0021429368363371317
PPC,0.0021371597870746936
FYV,0.0021360011903919403
UGN,0.002118819446233049
PDT,0.002096053813362331
KEK,0.0020868690582252756
MMH,0.002067573392227827
LNY,0.002063558484367015
OSC,0.00204254679641665
AZO,0.0020316138093761024
GUC,0.0020277953951356774
ADS,0.0020187624201694174
PEC,0.002013164470566358
CIU,0.002004255118201053
GCK,0.0019902330152578576
JMS,0.0019766096313781575
SUS,0.001971483523033254
DRT,0.0019475196834096902
IKO,0.0019136482612343976
AGN,0.0018899584370141924
VCV,0.0018852192475682075
JRV,0.0018714665637935563
LGU,0.0018651312532589133
TCT,0.0018630062385519726
CYS,0.0018609893423241427
WSN,0.0018554248407227315
TWA,0.0018470094952934156
TN8,0.0018434093250676044
PGA,0.0018217883143216973
SQL,0.0018074197794207742
ATK,0.0017973715321305554
RDV,0.0017963188741592366
EXI,0.001793544396218911
RCE,0.001783042380587639
ADK,0.0017826249643355901
LYH,0.001750969613179071
PKB,0.0017438774755325645
MSL,0.0017413763981545213
NUQ,0.0017374654288571493
FNL,0.0017192880918418022
HHH,0.0017179227679888262
LGD,0.0017155272524955374
DHB,0.0017060041280362035
LBF,0.0017023179141254705
CKD,0.0016991610986711496
BJC,0.0016981854289014268
MLU,0.0016873323446291205
NGU,0.0016854676010986133
PSM,0.0016841598099392257
EHM,0.0016840560672099015
PIZ,0.0016804183162347707
OXC,0.0016800958576400121
OAJ,0.0016786957695452025
ATY,0.0016604898601676194
APA,0.0016581655632843713
IWD,0.0016519393799713114
BAF,0.0016500927286137216
HGR,0.0016496339238703174
CEC,0.0016428756495687996
TNC,0.0016425312669205126
HIB,0.0016358818461272438
PHF,0.0016321841044649624
OWB,0.0016113040522705057
EAT,0.001602991798976086
STC,0.00160128800604641
ALO,0.0016005005722450531
SLN,0.0015992567793400687
PRC,0.0015984564577217677
BFD,0.001595696169708526
FOK,0.0015894556281754403
DPA,0.0015873995115634541
DJN,0.0015635174447354518
COD,0.0015575653162058604
VIS,0.001552976433724987
DVL,0.0015438457313676599
UDD,0.0015381157833947215
TEX,0.0015279321092153888
CMX,0.0015151116061716723
PIR,0.0015088514443318266
PTL,0.001501000797321383
BIF,0.0014992894762931293
GDC,0.0014908303131706063
RKS,0.0014829144467075504
CEM,0.0014814604183798561
ESC,0.0014742292398797804
JRA,0.0014654487445652509
CVO,0.0014336818429313278
A20,0.0014202878107266073
OCF,0.0014193327169986034
AGC,0.0014024031560089763
RBG,0.00139358391327598
FMN,0.0013910441403116687
PQI,0.0013794938570375137
AUO,0.001356957176774783
EWB,0.0013526114580514267
GCC,0.001341721964498258
APC,0.001339451381814896
HOB,0.001334142826289269
COE,0.001327384256993537
TKE,0.0013224517552297027
PUW,0.0013097553963695376
LNS,0.0013082632576157953
CEZ,0.001307459027040498
MPB,0.0013032014223593991
BMG,0.0012992893889789752
CDR,0.0012945884744510279
BTM,0.0012914938752320772
DBQ,0.0012768719082404138
MWA,0.0012759588778454985
RHI,0.0012742085556577442
SBY,0.001270203234145535
OTH,0.0012694984155786882
BRD,0.0012694274496218034
LEB,0.001267692859036621
UST,0.0012661170529576474
IMT,0.001263880049865575
EWN,0.0012618049355352006
SJT,0.0012600207152831324
SHR,0.0012598155474015118
SHD,0.0012584673860557463
PWA,0.0012550183237153563
ELV,0.001252773889716717
ABR,0.001249126411026194
EAU,0.001248032896714094
KVC,0.001246991994050009
TRM,0.0012452522006894781
SUX,0.0012437314265138653
SVC,0.0012425884243616092
GUP,0.0012404363691488453
CGI,0.0012280532387842198
BWG,0.0012251296587393323
HYS,0.0012226119223446676
NYL,0.0012215697530419754
JHM,0.0012147561755355349
MTH,0.0012043363763658483
LZU,0.0011998907735096028
TWF,0.0011987347376375284
MNZ,0.0011979583667353876
DIK,0.0011855368529647692
CZF,0.0011797816703773773
LMT,0.0011716953273632575
TSS,0.0011650241376262166
C01,0.0011644166237786313
ALS,0.0011575987715913773
RQV,0.0011297330246561386
KFP,0.0011113580945260816
TBN,0.0011082516790736675
VRB,0.0010840710618790022
MVL,0.0010569845356511792
AKB,0.0010424405689733632
BWD,0.0010417956888380128
PA8,0.0010372361016312349
SLE,0.0010315436290558153
TLJ,0.0010171195576321507
FLO,0.0010051821533321405
ATO,0.0009874698647972544
09A,0.000983173126176338
LUP,0.0009830500739032525
CKX,0.0009777724468414237
CZN,0.0009777724468414237
IAB,0.0009733577084385116
MXY,0.0009729450962294812
MYK,0.0009729450962294812
SKW,0.0009661349599025616
HIO,0.0009640532881633775
GA5,0.0009614560319919365
BPT,0.0009610312813240878
BKW,0.0009588931007693169
BNF,0.000958158125608778
DEC,0.0009517317342180015
IYK,0.0009487852257045078
VWS,0.0009382099738661131
VEL,0.0009381344118543859
PAH,0.0009350583624028797
WRI,0.0009300474481419919
SUA,0.0009282992172195132
CLM,0.0009279842240415842
MCC,0.0009272805836058432
PLN,0.0009255388385576447
FOD,0.0009195835977492793
JLN,0.0009195835977492793
UKI,0.0009174819281366456
GON,0.000916702165174225
BFM,0.0009135226752876372
MKL,0.0009113787171703525
ELD,0.000910968976289533
HOT,0.000910968976289533
HRO,0.000910968976289533
JST,0.0009104144035215716
CVN,0.0009080924357088972
PIH,0.0009069658365906013
INL,0.000902973053116363
CDC,0.0009022717962341882
ONP,0.0008995487838746916
CCR,0.0008992002847317739
RKD,0.0008975910021699357
RUT,0.0008975910021699357
APN,0.0008969688416666522
HWD,0.0008969215291325386
TX6,0.0008969174881552426
CXO,0.000896350257731063
AOO,0.000896303030899473
BRL,0.0008961425843633927
UIN,0.0008961425843633927
FSM,0.0008960482628796663
MSS,0.0008947011919546747
DUJ,0.0008943736559332405
MGW,0.0008943736559332405
PSE,0.000894029467352403
HII,0.000892356764055022
ILG,0.0008920251501455778
MCK,0.0008894712983359279
IPL,0.000888932230573271
A1K,0.0008831571148521869
ISM,0.0008823519679369402
GGW,0.0008813112086176492
PPG,0.0008805089184038377
BQK,0.0008702504678025534
SDM,0.0008637287513891019
JGG,0.0008543248266783374
OGD,0.0008458771640703732
CNM,0.0008448644546258072
KQA,0.00084484073265466
LBL,0.0008065341439363264
A27,0.0008046747999188822
GBH,0.0008046747999188822
MHM,0.0008046747999188822
MNT,0.0008046747999188822
UTO,0.0008046747999188822
N2C,0.0007569699835960741
RSN,0.0007441739736208749
T4X,0.0007401360153533347
DHN,0.0007349810402779736
2AK,0.0007140755484249336
NLG,0.0007091124353811689
FVQ,0.0007083635725867491
VDZ,0.0007083635725867491
MXE,0.0006861068124689586
RMN,0.0006815028031749344
BLM,0.0006778304002049956
NNL,0.000675507273544853
SMO,0.0006668724835820569
LPW,0.0006494670294501713
1TX,0.0006447752686604887
CGF,0.0006447752686604887
LOT,0.0006447752686604887
MRC,0.0006447752686604887
VWX,0.0006447752686604887
IPT,0.0006326096423054894
PRB,0.0006237069925592039
GCY,0.0006128977795864878
BCE,0.0006090429734792136
TKF,0.0006045742038927712
LUR,0.0006033033404582925
TKI,0.0005993852438680725
SKF,0.0005990606846507806
QMA,0.0005989086498871972
UTM,0.0005989086498871972
WKV,0.0005989086498871972
2TX,0.000598623588240419
OWD,0.0005851224783948835
VQQ,0.0005752120819924006
IGM,0.0005724452174562519
VWW,0.0005724452174562519
LWC,0.0005657515311953622
ISO,0.0005632759608598921
EFD,0.0005603678646433395
VLD,0.0005603678646433395
MEI,0.0005584612571209055
PIB,0.0005584612571209055
VCT,0.0005584612571209055
ALW,0.0005496085503769565
TCM,0.0005496085503769565
CTH,0.0005466651710179242
AIA,0.0005456847426252284
CNY,0.0005456847426252284
DDC,0.0005456847426252284
LAR,0.0005456847426252284
RIW,0.0005456847426252284
LWB,0.0005451317318363796
MBL,0.0005451317318363796
MCW,0.0005451317318363796
MKG,0.0005451317318363796
ALN,0.0005447567711973812
2NC,0.0005447461498492713
RWI,0.0005447461498492713
1NY,0.0005413347335790142
CGS,0.0005413347335790142
DE2,0.0005413347335790142
FPR,0.0005413347335790142
SVH,0.0005413347335790142
ZXC,0.0005409157274006802
GTU,0.0005398544628757542
DQK,0.0005396742734082216
EKO,0.000539099356651465
SAC,0.000539099356651465
UOX,0.000539015430035127
ART,0.0005383947290086843
DCU,0.0005376872732177693
PTV,0.0005370267003270497
QQN,0.0005370267003270497
OGS,0.0005365155483975209
TX1,0.00053595090562204
FXE,0.0005358585074685271
SUO,0.0005353908302935102
MRK,0.0005352635188367839
MKN,0.0005352053291157948
RBD,0.0005352053291157948
TVI,0.0005352053291157948
GGG,0.0005336405697959975
LAW,0.0005336405697959975
SPS,0.0005336405697959975
TXK,0.0005336405697959975
TYR,0.0005336405697959975
SOW,0.0005317948203836754
MEO,0.0005295258798758524
AUG,0.0005274891453032502
BHB,0.0005274891453032502
PVC,0.0005274891453032502
SLK,0.0005274891453032502
BGM,0.0005273587674256002
ADW,0.0005269577611065241
IRK,0.0005222437292393418
JBR,0.0005222437292393418
HUL,0.0005217928363396083
GED,0.0005216992148378913
GDV,0.0005215471972809123
HVR,0.0005215471972809123
OLF,0.0005215471972809123
SDY,0.0005215471972809123
LNA,0.0005148664167693789
PML,0.0005093041073723831
HNM,0.0005055719007897446
MUE,0.0005055719007897446
DWH,0.0004957051474113194
MAZ,0.0004953635386981399
RBN,0.0004899337836278409
GAI,0.0004811154798715426
FTY,0.0004753414088420711
NEW,0.0004408568672766637
UT1,0.00042825673295928096
ALM,0.00017123287671232874
BBX,0.00017123287671232874
CIC,0.00017123287671232874
FTG,0.00017123287671232874
JLA,0.00017123287671232874
LOZ,0.00017123287671232874
MGE,0.00017123287671232874
MSC,0.00017123287671232874
MVW,0.00017123287671232874
MYF,0.00017123287671232874
POB,0.00017123287671232874
PSF,0.00017123287671232874
RTN,0.00017123287671232874
UBF,0.00017123287671232874
UXK,0.00017123287671232874
VAD,0.00017123287671232874
WVL,0.00017123287671232874
